no	author	pseudonym	title	subtitle	source	city	year	number_of_periodical_pagination	editions	narration	setting	region	location	protagonist_gender	protagonist_name_male	protagonist_name_female
161	Кугушев, Григорий Васильевич		Странник	эскиз из провинциальной жизни	Отечественные записки		1857	Т. 112. No 5. Отд. I. С. 2–28.		3л	имение	Великороссия		муж	Иван Михайлович	Параша
162	Максимов, Сергей Васильевич		Колдун	рассказ	Библиотека для чтения		1857	Т. 146. No 11. Отд. I. С. 57–72		3л	деревня	Великороссия		муж	Кузьма	нет
163	Мельников-Печерский, Павел Иванович		Дедушка Поликарп		Русский вестник		1857	Т. 9. No 10. Май. Кн. 2. С. 264–280		1л	деревня	Великороссия		муж	Поликарп	нет
164	Салтыков, Михаил Евграфович	Щедрин Н.	Богомольцы, странники и проезжие		Русский вестник		1857	No 15. Август. Кн. 1. С. 393–451		1л	деревня	Великороссия		муж и жен	без имени	Пахомовна
165	Селиванов, Илья Васильевич		Обыкновенный случай		Селиванов. Провинциальные воспоминания	Москва	1857	Т. 1. С. 223– 269.		3л	деревня	Великороссия		муж	без имени	нет
166	Успенский, Николай Васильевич		Старуха		Сын Отечества		1857	No 18. С. 409– 415.		3л	деревня	Великороссия		жен	Петр	Кузминишна
167	автор не установлен	Т.	Даровитость русского человека	из записок русского туриста	Русский вестник		1858	Т. 15. No 9. Май. Кн. 1. С. 85–151.		1л	имение	Великороссия		муж	Гриша	Катя
168	Маркович, Мария Александровна	Марко Вовчок	Максим Гримач		Русский вестник		1858	Т. 16. No 14. Июль. Кн. 2. С. 358–364.	Украинские народные рассказы. СПб., 1859	3л	деревня	Малороссия		муж	Максим	Катря
169	Маркович, Мария Александровна	Марко Вовчок	Чумак		Русский вестник		1858	Т. 16. No 14. Июль. Кн. 2. С. 364–268.	Украинские народные рассказы. СПб., 1859	1л	деревня	Малороссия		муж	Грицько	Марина
170	Маркович, Мария Александровна	Марко Вовчок	Отец Андрий		Русский вестник		1858	Т. 16. No 14. Июль. Кн. 2. С. 368–372.	Украинские народные рассказы. СПб., 1859	1л	деревня	Малороссия		жен	Андрий	Олеся
171	Маркович, Мария Александровна	Марко Вовчок	Сон		Русский вестник		1858	Т. 16. No 13. Июль. Кн. 1. С. 165–173.		1л	деревня	Малороссия		жен	Данило	Домаха
172	Маркович, Мария Александровна	Марко Вовчок	Свекровь		Русский вестник		1858	Т. 16. No 13. Июль. Кн. 1. С. 173–177.	Украинские народные рассказы. СПб., 1859	1л	деревня	Малороссия		жен	Василь	Ганна
173	Маркович, Мария Александровна	Марко Вовчок	Выкуп		Русский вестник		1858	Т. 16. No 15. Ав- густ. Кн. 1. С. 471–481.		1л	деревня	Малороссия		муж	Яков	без имени
174	Маркович, Мария Александровна	Марко Вовчок	Данило Гурч		Русский вестник		1858	Т. 16. No 15. Август. Кн. 1. С. 481–488		3л	деревня	Малороссия		муж	Данило	Наталья
175	Маркович, Мария Александровна	Марко Вовчок	Сестра		Русский вестник		1858	Т. 16. No 15. Август. Кн. 1. С. 488–506	Украинские народные рассказы. СПб., 1859	1л	деревня	Малороссия		жен	нет	без имени
176	Потехин, Алексей Антипович		Бурмистр	повесть	Библиотека для чтения		1858	No 3. Отд. I. С. 1–113		3л	имение	Великороссия		муж	Анфиноген Дормидонтыч	Матрена Фоминишна
177	Салов, Илья Александрович		Лесник	рассказ	Современник		1858	No 12. Отд. I. С. 397–413.		1л	имение	Великороссия		муж	Вавила	Афимья
178	Салтыков, Михаил Евграфович	Щедрин Н.	Святочный рассказ		Атеней		1858	No 1. Январь. С. 304–340		1л	деревня	Великороссия		муж	Петр	Марфуша
179	Стороженко, Алексей Петрович		Колбаса	рассказы из крестьянского быта малороссов	Стороженко. Рассказы и крестьянского быта малороссов	Санкт-Петербург	1858			1л	город	Малороссия	Ромны	муж	без имени	нет
180	Успенский, Николай Васильевич		Хорошее житье	очерки народного быта	Современник		1858	No 2. Отд. I. С. 168–184.		3л	деревня	Великороссия		муж	без имени	нет
181	Успенский, Николай Васильевич		Сцены из сельского праздника	очерки народного быта	Современник		1858	No 5. Отд. I. С. 44–58.		3л	деревня	Великороссия		муж и жен	без имени	без имени
182	Успенский, Николай Васильевич		Змей		Современник		1858	No 8. Отд. I. С. 234–260.		3л	деревня	Великороссия		муж	Антошка	Апроська
183	Крестовский, Всеволод Владимирович		Любовь дворовых		Библиотека для чтения		1859	No 8. Смесь. С. 1–12		в письмах	имение	Великороссия		муж и жен	Мартын	Авдотья Булдакова
184	Максимов, Сергей Васильевич		Повитуха-знахарка	очерк	Русское слово		1859	No 4. Отд. I. С. 237–268		3л	деревня	Великороссия		жен	Михеич	Матрена
185	Маркович, Мария Александровна	Марко Вовчок	Надежа		Народное чтение		1859	Кн. 1. С. 145–166.	Рассказы из народного русского быта. М., 1859	1л	деревня	Великороссия		жен	Иван Петрович	Надежда
186	Маркович, Мария Александровна	Марко Вовчок	Саша		Народное чтение		1859	No 3. С. 121–150.	Рассказы из народного русского быта. М., 1859	1л	город	Великороссия		жен	без имени	Саша
187	Маркович, Мария Александровна	Марко Вовчок	Катерина		Народное чтение		1859	Кн. 2. С. 178–195.	Рассказы из народного русского быта. М., 1859	1л	деревня	Великороссия		жен	без имени	Катя
188	Маркович, Мария Александровна	Марко Вовчок	Козачка		Русский вестник		1859	Т. 19. No 3. Февраль. Кн. 1. С. 435–452	Украинские народные рассказы. СПб., 1859	3л	имение	Малороссия		жен	Иван	Олеся
189	Маркович, Мария Александровна	Марко Вовчок	Маша		Русская беседа		1859	Кн. 3. Проза. С. 43–57.	Рассказы из народного русского быта. М., 1859	1л	имение	Великороссия		жен	Федя	Маша
190	Маркович, Мария Александровна	Марко Вовчок	Ледащица	повесть	Русское слово		1859	No 9. Отд. I. С. 40–58	Новые повести и рассказы. СПб., 1861	1л	деревня	Великороссия		жен	без имени	Настя
191	Маркович, Мария Александровна	Марко Вовчок	Игрушечка		Русский вестник		1859	Т. 23. No 20. Октябрь. Кн. 2. С. 641–680.	Рассказы из народного русского быта. М., 1859	1л	имение	Великороссия		жен	Андрей	Груша
192	Маркович, Мария Александровна	Марко Вовчок	Одарка		Маркович. Украинские народные рассказы	Санкт-Петербург	1859	С. 89–108		1л	имение	Малороссия		жен	без имени	Одарка
193	Маркович, Мария Александровна	Марко Вовчок	Горпина		Маркович. Украинские народные рассказы	Санкт-Петербург	1859	С. 124–134		1л	имение	Малороссия		жен	нет	Горпина
194	Мей, Лев Александрович		Лесные диковинки. Парельщик		Искра		1859	No 15. С. 142–146.		1л	деревня	Великороссия		муж	без имени	нет
195	Михайлов, Михаил Ларионович		Кормилица	очерк	Русское слово		1859	No 1. Отд. I. С. 21–34.		1л	город	Великороссия		жен	нет	Марина
196	Михайлов, Михаил Ларионович		Шелковый платок	деревенская быль	Народное чтение		1859	Кн. 4. С. 169–203		3л	деревня	Великороссия		жен	Иван	Настасья
197	Петров, Михаил Александрович		Саргина могила		Библиотека для чтения		1859	No 2. С. 73–120		3л	деревня	Великороссия		жен	Митряй	Пелагея
198	Петров, Михаил Александрович		Выборы	простонародный очерк	Библиотека для чтения		1859	No 9. Отд. I. С. 1–50		3л	деревня	Великороссия	Псковская губерния	муж	Страмил	нет
199	Погосский, Александр Фомич		Темник	рассказ проезжего	Современник		1859	No 8. Отд. I. С. 203–233		1л	деревня	Малороссия		жен	нет	Параска
200	Потехин, Николай Антипович		Бесталанный	повесть из простонародного быта	Русское слово		1859	No 2. Отд. I. С. 278–337		3л (суб-авт)	деревня	Великороссия	К-ая губерния	муж	Николай	Дарья
201	Салтыков, Михаил Евграфович	Щедрин Н.	Развеселое житье		Современник		1859	No 2. Отд. I. С. 441–469		1л	город	Великороссия	Москва	муж	Иван	Маша
202	Славутинский, Степан Тимофеевич		Своя рубашка	рассказ	Современник		1859	No 6. Отд. I. С. 365–412	СПб., 1860	3л	деревня	Великороссия	Волга	муж	Тарас	нет
203	Славутинский, Степан Тимофеевич		Жизнь и похождения Трифона Афанасьева		Современник		1859	No 9. Отд. I. С. 75–151	М., 1860	3л (суб-авт)	деревня; город	Великороссия	Петербург	муж	Трифон	нет
204	Успенский, Николай Васильевич		Рассказ за чаем		Народное чтение		1859	Кн. 1. С. 179–193.		3л	деревня	Великороссия		муж	Антипка	нет
205	Успенский, Николай Васильевич		Ночь под светлый день	очерки народного быта	Современник		1859	No 2. Отд. I. С. 369–376.		3л	деревня	Великороссия		муж и жен	без имени	без имени
206	Успенский, Николай Васильевич		Сельская аптека	очерки народного быта	Современник		1859	No 4. Отд. I. С. 373–394		3л	деревня	Великороссия		муж	Андрей	нет
207	Успенский, Николай Васильевич		Бобыль	очерки народного быта	Современник		1859	No 10. Отд. I. С. 377–380		1л	деревня	Великороссия		муж	Карней	нет
208	Успенский, Николай Васильевич		Обед у приказчика	очерки народного быта	Современник		1859	No 10. Отд. I. С. 380–386		3л	деревня	Великороссия		муж	без имени	без имени
209	Григорович, Дмитрий Васильевич		Пахотник и бархатник	повесть	Современник		1860	No 11. Отд. I. С. 5–82		3л	деревня	Великороссия		муж	Карп	нет
210	Кушнерев, Иван Николаевич		Антип		Народное чтение		1860	Кн. 2. С. 110– 136.		1л	деревня	Великороссия		муж	Антип	Саша
211	Кушнерев, Иван Николаевич		Из народного быта; Юродивый		Кушнерев. Очерки и рассказы	Санкт-Петербург	1860	Ч. 2. С. 302–348		3л	деревня	Великороссия		муж	Никита	нет
212	Кушнерев, Иван Николаевич		Старик	очерк из народного быта	Кушнерев. Очерки и рассказы	Санкт-Петербург	1860	Ч. 2. С. 95–137		1л	деревня	Великороссия		муж	Леон	нет
213	Маркович, Мария Александровна	Марко Вовчок	Институтка		Отечественные записки		1860	No 1. Отд. I. С. 1–43		1л	имение	Великороссия		жен	Прокоп	Устя
214	Мей, Лев Александрович		Швейка		Светоч		1860	Кн.2.		1л	город	Великороссия	Петербург	жен	нет	Мавра Сидоровна
215	Петров, Михаил Александрович		Богомолка	рассказ из охотничьих встреч	Библиотека для чтения		1860	No 2. Отд. I. С. 1–26.		1л	деревня	Великороссия		муж	Никита	Варвара
216	Петров, Михаил Александрович		Наносная беда	повесть	Отечественные записки		1860	Т. 132. No 9. Отд. I. С. 329–374		3л	деревня	Великороссия	Волга	муж	Лева	Устинька
217	Погосский, Александр Фомич		Дедушка Назарыч		отд. изд.	Санкт-Петербург	1860			3л	деревня	Великороссия		муж	Илья	нет
218	Погосский, Александр Фомич		Первый винокур	древнее сказание	отд. изд.	Санкт-Петербург	1860			3л	деревня	Великороссия		муж	без имени	без имени
219	Успенский, Николай Васильевич		Обоз	очерки простонародного быта	Современник		1860	No 3. Отд. I. С. 241–250		3л	постоялый двор	Великороссия		муж	без имени	нет
220	автор не установлен	В. В-в	Странники		Народное чтение		1861	Кн. 1. С. 103–123.		1л	деревня	Великороссия		муж	Иван; Данил	нет
221	Афанасьев-Чужбинский, Александр Степанович	Дядя Афанасий	Пропащая голова		Народное чтение		1861	Кн. 1. С. 33–72.		3л	деревня	Великороссия		муж	Ларион	Параня
222	Дмитриев, Николай Дмитриевич		Вода		Библиотека для чтения		1861	Т. 167. No 9. Отд. I. С. 1–62.		3л	деревня	Великороссия		жен	Александр	Липа
223	Кобякова, Александра Петровна		Неожиданное богатство		Русское слово		1861	No 5. Отд. I. С. 1–60; No 6. Отд. I. С. 1–67		3л	город	Великороссия		муж	Васьян	нет
224	Левитов, Александр Иванович		Ярманочные сцены	очерки из простонародного быта	Время		1861	No 6. Отд. I. С. 316–355		3л (суб-авт)	ярмарка	Великороссия		муж	Македон Елистратич; Вася	нет
225	Потанин, Гавриил Никитич		Старое старится, молодое растет	роман	Современник		1861	No 1. Отд. I. С. 13–118; No 2. Отд. I. С. 411–522; No 3. Отд. I. С. 41–138; No 4. Отд. I. С. 383–498		1л	имение	Великороссия		муж	Вася	Лидия
226	Левитов, Александр Иванович		Проезжая степная дорога; Ночь		Русская речь		1861	No 65. Словесность. С. 198–201; No 66. Словесность. С. 214–216.		1л	дорога	Великороссия		муж	без имени	нет
227	Левитов, Александр Иванович		Накануне Христова дня	повесть	Русская речь		1861	No 102. Словесность. С. 786–790; No 103, 104. Словесность. С. 809–814.		1л	постоялый двор	Великороссия		муж	Липат Семеныч	без имени
228	Маркович, Мария Александровна	Марко Вовчок	Лихой человек		Русский вестник		1861	Т. 31. No 1. С. 361–428.	Новые повести и рассказы. СПб., 1861	3л	деревня	Великороссия		жен	Петр	Паша
229	Маркович, Мария Александровна	Марко Вовчок	Три доли		Русское слово		1861	No 6. Отд. I. С. 1–92.	Новые повести и рассказы. СПб., 1861	1л	деревня	Великороссия		жен	Яков	Катря
230	Мей, Лев Александрович		Батя		Светоч		1861	Кн. 1. Отд. I. С. 111–163.		1л	деревня	Великороссия	Тамбовская губерния	муж	Денис	нет
231	Славутинский, Степан Тимофеевич		Беглянка	роман	Русское слово		1861	No 8. Отд. I. С. 1–112; No 9. Отд. I. С. 1–134	СПб., 1865	3л	деревня	Великороссия		жен	Кузька	Марья
232	Петров, Михаил Александрович		Изуроченная		Библиотека для чтения		1861	Т. 168. No 12. Отд. I. С. 1–34		3л	имение	Великороссия		жен	Павел	Стеша
233	Селиванов, Илья Васильевич		Два убийства		Современник		1861	No 5. Отд. I. С. 5–42		3л	деревня	Великороссия		жен	Емельян	Марья
234	Успенский, Николай Васильевич		Зимний вечер	очерки народного быта	Современник		1861	No 1. Отд. I. С. 245–248		3л	деревня	Великороссия		муж и жен	без имени	без имени
235	Успенский, Николай Васильевич		На пути	очерки народного быта	Современник		1861	No 4. Отд. I. С. 369–377		3л	город	Великороссия		муж	без имени	нет
