no	author	pseudonym	title	subtitle	source	city	year	number_of_periodical_pagination	editions	narration	setting	region	location	protagonist_gender	protagonist_name_male	protagonist_name_female
52	Булгарин, Фаддей Венедиктович		Извозчик-ночник		Булгарин Ф.В. Очерки русских нравов, или изнанка рода человеческого	Санкт-Петербург	1843	С. 17–29		1л	город	Великороссия	Петербург	муж	без имени	нет
53	Даль, Владимир Иванович	Казак Луганский	Хмель, сон и явь		Москвитянин		1843	No 3. Изящ- ная словесность. Проза. С. 6–29	Сельское чтение. 1844. Кн. 3.	3л	деревня	Великороссия		муж	Степан	нет
54	Загоскин, Михаил Николаевич		Отец Василий		Сельское чтение		1843	Кн.1. С. 1–16		3л	деревня	Великороссия		муж	без имени	без имени
55	Одоевский, Владимир Федорович		Что значит украсть пятачок?		Сельское чтение		1843	Кн.3.		3л	город	Великороссия		муж	Игнаш	нет
56	Соллогуб, Владимир Александрович		Нечистая сила		Сельское чтение		1843	Кн. 3. С. 20-28		3л	деревня	Великороссия		муж	Тарас	без имени
57	Бурнашев, Владимир Петрович	анонимно	Мешок с полуимпериалами	книга для доброго русского народа	Воскресные посиделки	Санкт-Петербург	1844	Пяток 1. С. 98-102		3л	город	Великороссия	Москва	муж	без имени	нет
58	Бурнашев, Владимир Петрович	анонимно	О том, как худо старому жениться на молодой	книга для доброго русского народа	Воскресные посиделки	Санкт-Петербург	1844	Пяток 1.		3л	деревня	Великороссия		муж	Спиридон	Авдотья
59	Бурнашев, Владимир Петрович	анонимно	О том, что из того бывает, когда мужик свой закон забывает, а девка влюбить его в себя старается	книга для доброго русского народа	Воскресные посиделки	Санкт-Петербург	1844	Пяток 1.		3л	деревня	Великороссия		муж	Фома	Маланья
60	Бурнашев, Владимир Петрович	анонимно	Золото в руках бедной швеи	книга для доброго русского народа	Воскресные посиделки	Санкт-Петербург	1844	Пяток 4. С. 13–26		3л	город	Великороссия	Петербург	жен	нет	Анна Михайловна Сердина
61	Бурнашев, Владимир Петрович	анонимно	Понятливость лошади	книга для доброго русского народа	Воскресные посиделки	Санкт-Петербург	1844	Пяток 4.		1л	город	Великороссия	Петербург	муж	без имени	нет
62	Бурнашев, Владимир Петрович	анонимно	Обморух	книга для доброго русского народа	Воскресные посиделки	Санкт-Петербург	1844	Пяток 4.		3л	деревня	Великороссия	Тульская губерния	муж	Максим	Дарья
63	Бурнашев, Владимир Петрович	анонимно	Беды от того, когда простые девушки подадутся на льсьтвые обещания городских вертопрахов	книга для доброго русского народа	Воскресные посиделки	Санкт-Петербург	1844	Пяток 6.		3л	город	Великороссия		жен	Антип	Матреша
64	Иванов, Афанасий	Самовидец	Лева простоволосый, по прозванию Долина	повесть	Маяк		1844	. 13. Кн. 26. С. 77–156; Т. 14. Кн. 27. С. 1–83; Кн. 28. С. 85–158; Т. 15. Кн. 30. С. 1–67.		1л	деревня	Великороссия		муж	Лева	Наташа Миронова
65	Гребенка, Евгений Павлович		Чужая голова - темный лес	рассказ	Иллюстрация		1845	No 8. С. 113–116.		3л	постоялый двор	Великороссия		муж	Иван	Аленушка
66	Иванов, Афанасий	Самовидец	Падающие звезды	повесть	Маяк		1845	Т. 21. Кн. 41. С. 1–67.		1л	деревня	Малороссия		муж и жен	Иван	Маша
67	Ушаков, Василий Аполлонович		Хамово отродье	картинка русского быта	Сто русских литераторов	Москва	1845	Т.3. С. 497–594.		1л	деревня	Великороссия		муж	Никита	нет
68	Григорович, Дмитрий Васильевич		Деревня	рассказ	Отечественные записки		1846	No 12. Отд. 1. С. 177–229.		3л	деревня	Великороссия		жен	Григорий	Акулина
69	Даль, Владимир Иванович	Казак Луганский	Где потеряешь, не чаешь, где найдешь, не знаешь		Московский сборник	Москва	1846	С. 427–468.		1л	деревня	Великороссия		муж и жен	братья Курмышевы	сестры Курмышевы
70	Даль, Владимир Иванович	Казак Луганский	Русский мужик		Новоселье	Санкт-Петербург	1846	Ч. 3. С. 123–140.		3л (суб-авт)	имение	Великороссия		муж	без имени	нет
71	Квитка-Основьяненко, Григорий Федорович		Бессрочный		Финский вестник		1846	Т. 7. С. 1–22.		3л	деревня	Малороссия		муж	Венедикт	нет
72	Кукольник, Нестор Васильевич		Староста Меланья		Картины русской живописи, изданные под ред Кукольника	Санкт-Петербург	1846			1л	деревня	Великороссия		жен	Прохор	Меланья
73	Авдеева, Екатерина Алексеевна		Русские предания. Солдатка		Отечественные записки		1847	No 11. Смесь. С. 42–45.		1л	город	Великороссия	Москва	жен	Василий	Марья
74	Гребенка, Евгений Павлович		Заборов		Сочинения Гребенки	Санкт-Петербург	1847	Т. 4. С. 340–377.		3л	деревня; город	Великороссия		муж	Василий	нет
75	Григорович, Дмитрий Васильевич		Антон Горемыка	повесть	Современник		1847	No 11. Словесность. С. 5–118.		3л	имение	Великороссия		муж	Антон	нет
76	Никитенко, Александр Васильевич		Похождения мужичка в Питере		Современник		1847	No 3. Смесь. С. 21–27.		1л	город	Великороссия	Петербург	муж	Митя	нет
77	Тургенев, Иван Сергеевич		Хорь и Калиныч	из записок охотника	Современник		1847	No 1. Смесь. С. 55–64.	Записки охотника. М., 1852	1л	деревня	Великороссия	Калужская губерния	муж	Хорь; Калиныч	нет
78	Тургенев, Иван Сергеевич		Петр Петрович Каратев		Современник		1847	No 2. Словесность. С. 197–212.	Записки охотника. М., 1852	1л	деревня	Великороссия		муж	Петр Петрович	Матрена
79	Тургенев, Иван Сергеевич		Ермолай и мельничиха	записки охотника	Современник		1847	No 5. Словесность. С. 130–141.	Записки охотника. М., 1852	1л	деревня	Великороссия		жен	Ермолай	Арина
80	Тургенев, Иван Сергеевич		Однодворец Овсянников	записки охотника	Современник		1847	No 5. Словесность. С. 148–165.	Записки охотника. М., 1852	1л	деревня	Великороссия		муж	без имени	без имени
81	Тургенев, Иван Сергеевич		Льгов	записки охотника	Современник		1847	No 5. Словесность. С. 165–176.	Записки охотника. М., 1852	1л	деревня	Великороссия	Орловская губерния	муж	Сучок	нет
82	Тургенев, Иван Сергеевич		Бурмистр	записки охотника	Современник		1847	No 10. Словесность. С. 197–209.	Записки охотника. М., 1852	1л	имение	Великороссия		муж	Антип	нет
83	Тургенев, Иван Сергеевич		Контора	записки охотника	Современник		1847	No 10. Словесность. С. 210–226.	Записки охотника. М., 1852	1л	имение	Великороссия		муж	Куприян; Павел; Николай	нет
84	Герцен, Александр Иванович	Искандер	Сорока-воровка	повесть	Современник		1848	No 2. Словесность. С. 125–147.		3л	имение	Великороссия		жен	нет	Анета
85	Григорович, Дмитрий Васильевич		Бобыль		Современник		1848	No 3. Словесность. С. 5–25.		3л	деревня	Великороссия		муж	без имени	Марья Петровна
86	Даль, Владимир Иванович		Авсень	картины из русского быта	Москвитянин		1848	No 2. Изящная словесность. С. 129–142.		3л (суб-авт)	деревня	Великороссия		жен	без имени	Груша
87	Даль, Владимир Иванович		Сын	картины из русского быта	Москвитянин		1848	No 2. Изящная словесность. С. 129–142.		3л (суб-авт)	деревня	Великороссия		муж	Андрей	нет
88	Даль, Владимир Иванович		Беглянка	картины из русского быта	Отечественные записки		1848	No 2. Отд. 1. С. 234–243.		1л	деревня	Османская империя	Турция	жен	Степан	Улита
89	Даль, Владимир Иванович		Вор	картины из русского быта	Отечественные записки		1848	No 2. Отд. 1. С. 234–243.		1л	деревня	Великороссия		муж	без имени	без имени
90	Даль, Владимир Иванович		Сухая беда	картины из русского быта	Отечественные записки		1848	No 2. Отд. 1. С. 234–243.		1л	деревня	Великороссия	Чувашия	муж	без имени	без имени
91	Даль, Владимир Иванович		Искушение	картины из русского быта	Отечественные записки		1848	№ 2 Отд. 1. С. 248–251.		3л	деревня	Великороссия		муж	без имени	без имени
92	Даль, Владимир Иванович		Нога	картины из русского быта	Современник		1848	No 3. Словесность. С. 47–64.		3л	деревня	Великороссия		муж	без имени	нет
